INDEX,DATE,TIME,Interval,Home_Controller,Aircon,Doorlock,Lamp,TV,Vacuum,Washer
0,2020/06/13,02:55:22,10522,0,0,0,0,0,0,0
1,2020/06/13,02:55:27,10527,1,0,0,0,0,0,0
2,2020/06/13,02:55:32,10532,1,0,0,0,0,0,0
